"ID","Date","Time","x","y"
"56",2020-04-21,"Evening",1277.499392,139.8936
"56",2020-04-21,"Evening",1329.50016,114.8936
"56",2020-04-21,"Evening",1382.500352,155.3192
"56",2020-04-21,"Evening",1347.500032,91.4896
"56",2020-04-21,"Evening",721.999872,294.1488
"57",2020-04-22,"Noon",1205.000192,36.04936
"57",2020-04-22,"Noon",1198.49984,339.2592
"57",2020-04-22,"Noon",1275.500544,394.568
"57",2020-04-22,"Noon",1274.499072,15.30864
"57",2020-04-22,"Noon",1174.99904,158.5184
"57",2020-04-22,"Noon",1206.99904,406.42
"57",2020-04-22,"Noon",1080.500224,304.1976
"57",2020-04-22,"Noon",1169.999872,331.3584
"57",2020-04-22,"Noon",1343.000576,81.4816
"57",2020-04-22,"Noon",1225.00096,400
"57",2020-04-22,"Noon",1308.99968,82.9632
"57",2020-04-22,"Noon",1393.50016,36.04936
"57",2020-04-22,"Noon",1265.999872,397.0368
"57",2020-04-22,"Noon",1136.500736,317.0368
"57",2020-04-22,"Noon",917.499904,391.1112
"57",2020-04-22,"Noon",1273.499648,517.0368
"58",2020-04-22,"Evening",1250.000896,121.4816
"58",2020-04-22,"Evening",1316.499456,97.284
"58",2020-04-22,"Evening",1352.4992,48.88888
"58",2020-04-22,"Evening",1354.999808,96.7904
"58",2020-04-22,"Evening",1368.500224,33.0864
"58",2020-04-22,"Evening",1123.999744,455.8024
"58",2020-04-22,"Evening",1398.99904,103.704
"58",2020-04-22,"Evening",1378.000896,253.3336
"58",2020-04-22,"Evening",1424.500736,243.4568
"59",2020-04-23,"Noon",1170.499584,125.432
"59",2020-04-23,"Noon",1380.499456,27.65432
"59",2020-04-23,"Noon",1194.999808,177.7776
"59",2020-04-23,"Noon",1190.500352,127.4072
"59",2020-04-23,"Noon",1184.999424,178.272
"59",2020-04-23,"Noon",1215.000576,126.9136
"59",2020-04-23,"Noon",1210.499072,40.98768
"59",2020-04-23,"Noon",1380.499456,103.2096
"59",2020-04-23,"Noon",1347.500032,55.30864
"59",2020-04-23,"Noon",1328.500736,58.76544
"59",2020-04-23,"Noon",1301.000192,107.6544
"59",2020-04-23,"Noon",1341.999104,111.6048
"59",2020-04-23,"Noon",1325.000704,148.6416
"59",2020-04-23,"Noon",1379.999744,215.3088
"60",2020-04-23,"Evening",1368.500224,29.96056
"60",2020-04-23,"Evening",1300.50048,49.40864
"60",2020-04-23,"Evening",1329.50016,48.35744
"60",2020-04-23,"Evening",1304.999936,142.9696
"60",2020-04-23,"Evening",1346.000896,104.5992
"60",2020-04-23,"Evening",966.00064,521.4192
"61",2020-04-24,"Noon",1248.999424,240.9384
"61",2020-04-24,"Noon",1204.000768,308.2136
"61",2020-04-24,"Noon",1256.4992,38.59192
"61",2020-04-24,"Noon",1314.500608,21.382
"61",2020-04-24,"Noon",1317.500928,90.7432
"61",2020-04-24,"Noon",1294.49984,96.48
"61",2020-04-24,"Noon",1247.000576,493.872
"61",2020-04-24,"Noon",1357.000704,321.7728
"61",2020-04-24,"Noon",1285.500928,434.42
"61",2020-04-24,"Noon",1234.499584,42.24248
"61",2020-04-24,"Noon",1216.999424,343.1552
"61",2020-04-24,"Noon",1221.500928,40.15648
"61",2020-04-24,"Noon",1242.499072,240.4176
"61",2020-04-24,"Noon",1325.000704,346.8056
"61",2020-04-24,"Noon",1163.999232,201.304
"61",2020-04-24,"Noon",1346.000896,147.0664
"61",2020-04-24,"Noon",1323.999232,441.7208
"61",2020-04-24,"Noon",874.500096,406.2584
"61",2020-04-24,"Noon",1175.5008,612.2552
"62",2020-04-24,"Evening",1418.999808,40
"62",2020-04-24,"Evening",1403.500544,22.22224
"62",2020-04-24,"Evening",1429.000192,304.6912
"62",2020-04-24,"Evening",1411.500032,60.24688
"62",2020-04-24,"Evening",1252.499456,73.58024
"62",2020-04-24,"Evening",1458.999296,160.4936
"62",2020-04-24,"Evening",1450.000384,96.7904
"62",2020-04-24,"Evening",1369.499648,70.12344
"62",2020-04-24,"Evening",1293.500416,39.50616
"62",2020-04-24,"Evening",1304.000512,499.2592
"62",2020-04-24,"Evening",1322.000384,374.8152
"62",2020-04-24,"Evening",1035.999232,242.4688
"63",2020-04-25,"Noon",1294.49984,82.9672
"63",2020-04-25,"Noon",1190.500352,162.6376
"63",2020-04-25,"Noon",1262.49984,119.78
"63",2020-04-25,"Noon",1273.499648,92.8568
"63",2020-04-25,"Noon",1303.5008,125.2744
"63",2020-04-25,"Noon",1280,166.4832
"63",2020-04-25,"Noon",1309.499392,88.4616
"63",2020-04-25,"Noon",1240.500224,40.65936
"63",2020-04-25,"Noon",1376,117.0328
"63",2020-04-25,"Noon",1205.000192,160.4392
"64",2020-04-25,"Evening",1191.000064,105.6792
"64",2020-04-25,"Evening",1172.000768,245.9256
"65",2020-04-26,"Noon",1344,35.06176
"66",2020-04-27,"Noon",1222.500352,23.70368
"66",2020-04-27,"Noon",1146.499072,13.8272
"66",2020-04-27,"Noon",1210.499072,23.20984
"66",2020-04-27,"Noon",1235.499008,49.38272
"66",2020-04-27,"Noon",1244.499968,344.1976
"66",2020-04-27,"Noon",604.499968,247.4072
"66",2020-04-27,"Noon",1176.500224,24.69136
"66",2020-04-27,"Noon",1213.999104,399.012
"66",2020-04-27,"Noon",1262.49984,72.59256
"66",2020-04-27,"Noon",1229.500416,397.5312
"66",2020-04-27,"Noon",1063.999488,521.4816
"66",2020-04-27,"Noon",1171.499008,462.716
"66",2020-04-27,"Noon",888.500224,443.4568
"67",2020-04-27,"Evening",1247.000576,120.4936
"67",2020-04-27,"Evening",1251.500032,48.88888
"67",2020-04-27,"Evening",1248,84.4448
"67",2020-04-27,"Evening",1270.99904,87.4072
"67",2020-04-27,"Evening",1205.000192,297.284
"67",2020-04-27,"Evening",611.00032,501.728
"67",2020-04-27,"Evening",1240.000512,121.9752
"67",2020-04-27,"Evening",1362.499584,135.8024
"67",2020-04-27,"Evening",1347.500032,128.3952
"67",2020-04-27,"Evening",1155.500032,578.7656
"67",2020-04-27,"Evening",1229.000704,204.4448
"68",2020-04-28,"Noon",1289.500672,33.58024
"68",2020-04-28,"Noon",1210.499072,40.49384
"68",2020-04-28,"Noon",1168.500736,109.6296
"68",2020-04-28,"Noon",1135.499264,84.9384
"68",2020-04-28,"Noon",1302.99904,108.6416
"68",2020-04-28,"Noon",1103.998976,379.2592
"68",2020-04-28,"Noon",960,339.2592
"69",2020-04-28,"Evening",1309.499392,50.26736
"69",2020-04-28,"Evening",1302.499328,152.4064
"69",2020-04-28,"Evening",1285.500928,55.08024
"69",2020-04-28,"Evening",1190.500352,169.5184
"69",2020-04-28,"Evening",1201.50016,169.5184
"69",2020-04-28,"Evening",1266.499584,149.1976
"69",2020-04-28,"Evening",1252.499456,69.51872
"69",2020-04-28,"Evening",1341.999104,148.128
"69",2020-04-28,"Evening",1229.500416,163.636
"69",2020-04-28,"Evening",1284.499456,175.4008
"69",2020-04-28,"Evening",1237.000192,333.6896
"69",2020-04-28,"Evening",1184.999424,340.1072
"69",2020-04-28,"Evening",1258.999808,336.8984
"69",2020-04-28,"Evening",698.499072,494.1176
"69",2020-04-28,"Evening",1339.500544,236.8984
"70",2020-04-29,"Noon",1087.000576,132.3456
"70",2020-04-29,"Noon",1123.999744,150.1232
"70",2020-04-29,"Noon",1203.499008,56.79016
